Tamaño matriz,Tiempo promedio (s)
10,2.5728571428571428E-5
25,2.2290000000000002E-4
50,2.4487142857142853E-4
100,8.063285714285714E-4
200,0.005156785714285714
300,0.02489754285714286
400,0.06773572857142858
500,0.14254985714285714
700,0.41162717142857147
