Tamaño matriz,Tiempo promedio (ms)
10,3.794285714285714E-5
25,2.4035714285714283E-4
50,2.5355714285714285E-4
100,8.196428571428572E-4
200,0.004925871428571428
300,0.02420672857142857
400,0.06733750000000001
500,0.13054154285714287
700,0.4951510571428571
